region,pop_code,Fam,Ind,ind_code,index,1C,CV_Solanum,CV_Sample,batch
NY,JF,JF8,JF8-1,JF81A,1.52,1.97,3.31,3.1,1
NY,JF,JF8,JF8-2,JF82B,1.511,1.96,2.79,2.39,2
NY,JF,JF8,JF8-1B,JF81B,1.503,1.95,2.78,2.25,3
NY,JV,JV1,JV1-1,JV11A,1.456,1.89,3.13,2.27,1
NY,JV,JV1,JV1-2,JV12B,1.416,1.83,3.44,2.59,2
NY,JV,JV1,JV1-1,JV11B,1.458,1.89,2.93,2.44,2
NY,JV,JV10,JV10-1,JV101A,1.446,1.87,2.96,2.15,1
NY,JV,JV10,JV10-1,JV101B,1.456,1.89,3.21,2.7,2
NY,JV,JV10,JV10-1C,JV101C,1.465,1.90,3.12,2.32,3
NY,JV,JV10,JV10-1C,JV101C,1.475,1.91,3.52,2.99,4
NY,JV,JV12,JV12-3,JV123A,1.468,1.90,3.37,3.31,1
NY,JV,JV12,JV12-2C,JV122C,1.454,1.88,3.32,3.07,4
NY,JV,JV12,JV12-1B,JV121B,1.458,1.89,3.77,3.12,4
NY,JV,JV13,JV13-1,JV131B,1.474,1.91,2.85,2.42,2
NY,JV,JV13,JV13-2B,JV132B,1.451,1.88,2.67,2.23,4
NY,JV,JV13,JV13-1C,JV131C,1.473,1.91,3.54,2.95,4
NY,JV,JV14,JV14-2,JV142A,1.47,1.90,3.01,2.6,1
NY,JV,JV14,JV14-1,JV141A,1.475,1.91,3.26,3.46,1
NY,JV,JV14,JV14-2,JV142B,1.448,1.88,2.41,2.08,2
NY,JV,JV3,JV3-1,JV31A,1.461,1.89,3.02,2.7,1
NY,JV,JV3,JV3-2,JV32B,1.481,1.92,2.76,2.61,2
NY,JV,JV3,JV3-2C,JV32C,1.501,1.94,2.49,2.35,3
NY,JV,JV4,JV4-2,JV42B,1.458,1.89,3.49,3.05,2
NY,JV,JV4,JV4-1B,JV41B,1.459,1.89,3.19,2.6,3
NY,JV,JV5,JV5-1,JV51B,1.44,1.86,3.33,2.71,2
NY,JV,JV5,JV5-2B,JV52B,1.436,1.86,3.53,3.13,3
NY,JV,JV5,JV5-1C,JV51C,1.459,1.89,3.91,2.95,4
NY,JV,JV6,JV6-1,JV61A,1.456,1.89,3.08,2.48,1
NY,JV,JV6,JV6-2C,JV62C,1.494,1.93,3.02,2.62,3
NY,JV,JV6,JV6-1B,JV61B,1.452,1.88,3.43,2.55,4
NY,JV,JV8,JV8-3,JV83A,1.475,1.91,3.06,2.96,1
NY,JV,JV8,JV8-2,JV82A,1.487,1.93,3.01,2.91,1
NY,JV,JV8,JV8-1C,JV81C,1.453,1.88,2.89,2.52,3
NY,LH,LH1,LH1-2,LH12B,1.485,1.92,2.53,2.28,2
NY,LH,LH1,LH1-2C,LH12C,1.473,1.91,2.84,2.46,3
NY,LH,LH1,LH1-1B,LH11B,1.469,1.90,4.03,3.29,4
NY,LH,LH10,LH10-2C,LH102C,1.465,1.90,3.15,2.59,3
NY,LH,LH10,LH10-2C,LH102C,1.466,1.90,4.37,3.34,4
NY,LH,LH10,LH10-1B,LH101B,1.462,1.89,3.34,2.93,4
NY,LH,LH12,LH12-2,LH122B,1.456,1.89,3.12,2.42,2
NY,LH,LH12,LH12-1,LH121B,1.442,1.87,4.28,3.25,2
NY,LH,LH12,LH12-1C,LH121C,1.459,1.89,2.92,2.41,3
NY,LH,LH13,LH13-2B,LH132B,1.48,1.92,3.09,2.85,3
NY,LH,LH13,LH13-1B,LH131B,1.458,1.89,3.05,2.83,3
NY,LH,LH13,LH13-1C,LH131C,1.475,1.91,3,2.83,4
NY,LH,LH2,LH2-3,LH23A,1.496,1.94,2.54,2.11,1
NY,LH,LH2,LH2-2C,LH22C,1.481,1.92,3.43,3.01,3
NY,LH,LH2,LH2-1B,LH21B,1.473,1.91,3.32,3.03,3
NY,LH,LH3,LH3-1,LH31A,1.514,1.96,3.72,3.56,1
NY,LH,LH3,LH3-2,LH32B,1.467,1.90,2.73,3.51,2
NY,LH,LH3,LH3-1,LH31B,1.486,1.92,2.62,2.19,2
NY,LH,LH5,LH5-3,LH53B,1.462,1.89,2.41,2.05,2
NY,LH,LH5,LH5-2C,LH52C,1.5,1.94,3,2.76,3
NY,LH,LH5,LH5-2B,LH52B,1.459,1.89,2.99,2.86,3
NY,LH,LH6,LH6-2,LH62B,1.471,1.90,2.9,2.56,2
NY,LH,LH6,LH6-1,LH61B,1.461,1.89,2.86,2.32,2
NY,LH,LH7,LH7-2,LH72A,1.493,1.93,3.64,3.56,1
NY,LH,LH7,LH7-1C,LH71C,1.462,1.89,2.79,2.09,3
NY,LH,LH9,LH9-2C,LH92C,1.472,1.91,3.13,2.88,3
NY,LH,LH9,LH9-1C,LH91C,1.491,1.93,3.68,2.59,3
NY,LH,LH9,LH9-1A,LH91A,1.458,1.89,2.85,2.29,3
NY,MC,MC1,MC1-1,MC11A,1.494,1.93,2.79,2.64,1
NY,MC,MC1,MC1-2B,MC12B,1.487,1.93,2.97,2.98,4
NY,MC,MC1,MC1-1B,MC11B,1.478,1.91,3.36,2.65,4
NY,MC,MC11,MC11b1,MC11b1B,1.489,1.93,2.4,2.11,2
NY,MC,MC11,MC11a2,MC11B2B,1.484,1.92,2.54,2.18,2
NY,MC,MC11,MC11A1,MC11A1A,1.5,1.94,2.74,2.32,1
NY,MC,MC11,MC11A2,MC11A2A,1.492,1.93,3.33,3.28,1
