ind_code,region,pop_code,fam,fam2,index,X1C,CV_Solanum,CV_Sample,batch,ht,stemwid,numcap,numfls,dff,bench,BIOMASS,SLA
CO14-2A,NY,CO,CO14,CO.14,1.529,1.98,2.99,2.63,1,96.4,7.23,36,2,57,A,22.9,2.513274123
CO14-2B,NY,CO,CO14,CO.14,NA,NA,NA,NA,NA,81.5,6.89,22,5,50,B,18,2.622546911
CO14-2C,NY,CO,CO14,CO.14,NA,NA,NA,NA,NA,80.6,4.32,32,1,56,C,15.3,3.351032164
CO14-3A,NY,CO,CO14,CO.14,1.499,1.94,2.9,2.69,1,85.2,9.74,21,0,54,A,11.9,3.290104306
CO2-1A,NY,CO,CO2,CO.2,NA,NA,NA,NA,NA,92.1,5.6,26,1,57,A,14.1,3.619114737
CO2-1B,NY,CO,CO2,CO.2,1.558,2.02,3.22,2.94,4,71.8,4.8,32,20,49,B,19.4,3.290104306
CO2-1C,NY,CO,CO2,CO.2,1.55,2.01,3.29,2.71,4,100,5.59,17,1,61,C,11.3,3.479918016
CO2-2A,NY,CO,CO2,CO.2,NA,NA,NA,NA,NA,110.5,6.6,23,0,61,A,15.4,5.026548246
CO2-2B,NY,CO,CO2,CO.2,1.504,1.95,3.44,2.86,2,56.2,5.49,7,0,70,B,3.7,4.523893421
CO2-3A,NY,CO,CO2,CO.2,NA,NA,NA,NA,NA,97.8,6.2,22,0,61,A,13.7,3.850122061
CO4-1A,NY,CO,CO4,CO.4,1.486,1.92,2.49,2.01,2,110.5,5.55,21,0,66,A,13,4.308469925
CO4-1B,NY,CO,CO4,CO.4,1.516,1.96,2.81,2.4,4,105,6.6,29,0,60,B,15.9,5.17016391
CO4-1C,NY,CO,CO4,CO.4,NA,NA,NA,NA,NA,73.2,4.98,29,1,49,C,13.2,4.413554557
CO4-2A,NY,CO,CO4,CO.4,NA,NA,NA,NA,NA,98,6.95,19,0,59,A,7.7,5.026548246
CO4-2C,NY,CO,CO4,CO.4,1.496,1.94,3.32,2.52,4,86.6,4.7,41,3,56,C,15,3.769911184
CO4-3A,NY,CO,CO4,CO.4,1.508,1.95,2.69,2.32,1,102.6,5.34,46,2,56,A,24.7,4.20827295
CO4-3C,NY,CO,CO4,CO.4,1.497,1.94,2.61,2.32,3,111.5,6.1,24,2,56,C,12.2,3.619114737
CO6-1A,NY,CO,CO6,CO.6,NA,NA,NA,NA,NA,89.8,6.29,38,3,54,A,21.7,2.206777279
CO6-1C,NY,CO,CO6,CO.6,1.527,1.98,3.15,2.8,3,76.2,4.65,1,0,NA,C,10.2,3.548151703
CO6-2A,NY,CO,CO6,CO.6,NA,NA,NA,NA,NA,92.3,5.1,20,1,57,A,11.1,3.769911184
CO6-2B,NY,CO,CO6,CO.6,1.492,1.93,3.24,2.57,2,91.2,5,25,8,49,B,15.8,3.414259186
CO6-2C,NY,CO,CO6,CO.6,1.515,1.96,3.63,2.65,4,11.4,6.3,28,2,63,C,18.3,2.966487489
CO6-3A,NY,CO,CO6,CO.6,NA,NA,NA,NA,NA,98.5,7.35,22,0,61,A,12,4.021238597
CO8-1A,NY,CO,CO8,CO.8,NA,NA,NA,NA,NA,115.7,6.8,23,0,NA,A,16,3.548151703
CO8-1B,NY,CO,CO8,CO.8,1.502,1.95,2.51,2.23,2,98.7,5.2,57,0,60,B,24.1,3.015928947
CO8-2A,NY,CO,CO8,CO.8,NA,NA,NA,NA,NA,123.8,5.79,17,0,61,A,11.6,4.761993075
CO8-2B,NY,CO,CO8,CO.8,1.518,1.97,2.52,2.61,2,104.8,7.2,35,0,58,B,19.9,2.872313283
CO8-3A,NY,CO,CO8,CO.8,NA,NA,NA,NA,NA,97.5,6,20,0,65,A,14.2,3.769911184
CO9-1A,NY,CO,CO9,CO.9,NA,NA,NA,NA,NA,86,6.2,35,7,60,A,13.3,4.523893421
CO9-1C,NY,CO,CO9,CO.9,1.6,2.07,2.04,3.52,3,NA,NA,NA,NA,NA,C,3.3,4.112630383
CO9-2A,NY,CO,CO9,CO.9,NA,NA,NA,NA,NA,103.4,5.69,10,0,61,A,7.5,4.89069559
CO9-2C,NY,CO,CO9,CO.9,1.509,1.95,2.89,2.49,3,91,4.66,13,0,57,C,7.8,3.692974221
CO9-3A,NY,CO,CO9,CO.9,NA,NA,NA,NA,NA,88.4,5.28,31,3,54,A,15.7,1.966910183
DF10-1A,VT,DF,DF10,DF.10,NA,NA,NA,NA,NA,70.1,6.5,15,5,54,A,8.4,3.067046387
DF10-1C,VT,DF,DF10,DF.10,NA,NA,NA,NA,NA,65.4,4.3,9,9,49,C,8,3.769911184
DF10-2A,VT,DF,DF10,DF.10,NA,NA,NA,NA,NA,43.2,4.39,14,9,45,A,7.3,3.067046387
DF10-2B,VT,DF,DF10,DF.10,1.456,1.89,3.16,2.62,2,58,6.53,18,12,49,B,10.3,3.290104306
DF10-2C,VT,DF,DF10,DF.10,1.466,1.9,3.94,3.06,4,44,4.49,22,12,NA,C,8.8,2.661113777
DF10-3A,VT,DF,DF10,DF.10,NA,NA,NA,NA,NA,62,5,2,0,NA,A,2.4,4.761993075
DF11-1A,VT,DF,DF11,DF.11,NA,NA,NA,NA,NA,67.7,5.53,15,5,53,A,10.5,2.783934413
DF11-1B,VT,DF,DF11,DF.11,1.459,1.89,3.53,3.16,2,69.8,5.4,6,0,62,B,5,4.308469925
DF11-1C,VT,DF,DF11,DF.11,NA,NA,NA,NA,NA,58.9,5.44,19,6,52,C,8.3,3.067046387
DF11-2A,VT,DF,DF11,DF.11,NA,NA,NA,NA,NA,59.7,3.87,6,0,61,A,2,3.933820366
DF11-2C,VT,DF,DF11,DF.11,NA,NA,NA,NA,NA,42,5,8,0,54,C,4.9,3.692974221
DF11-3B,VT,DF,DF11,DF.11,1.487,1.93,3.36,3.09,4,59,6.39,12,7,19,B,6.6,2.380996537
DF12-1A,VT,DF,DF12,DF.12,NA,NA,NA,NA,NA,51.2,4.69,13,6,52,A,6.1,5.483507177
DF12-1B,VT,DF,DF12,DF.12,1.482,1.92,3.08,3.19,3,49,5.5,21,9,51,B,9.3,2.966487489
DF12-1C,VT,DF,DF12,DF.12,1.449,1.88,2.87,2.6,3,52.2,5.04,9,3,51,C,6.9,3.119926497
DF12-2B,VT,DF,DF12,DF.12,NA,NA,NA,NA,NA,64.5,5.57,15,8,53,B,11.1,2.513274123
DF12-2C,VT,DF,DF12,DF.12,1.449,1.88,2.65,2.52,3,69.5,5.83,11,9,48,C,9.7,2.180189601
DF12-4C,VT,DF,DF12,DF.12,1.531,1.98,3.22,3.06,3,61.5,5.3,10,5,NA,C,7.8,2.010619298
DF13-1A,VT,DF,DF13,DF.13,1.456,1.89,2.8,2.5,1,74,4.92,10,4,54,A,10.2,2.918640917
DF13-1B,VT,DF,DF13,DF.13,1.455,1.88,2.96,2.58,4,62.3,5.53,13,8,50,B,10.7,2.741753589
DF13-1C,VT,DF,DF13,DF.13,NA,NA,NA,NA,NA,66.2,4.53,15,12,51,C,10.1,2.783934413
DF13-2A,VT,DF,DF13,DF.13,NA,NA,NA,NA,NA,65.2,6.18,13,6,52,A,8.6,2.104136475
DF13-2B,VT,DF,DF13,DF.13,1.456,1.89,3.25,3.03,3,70.2,6.18,29,9,54,B,13.5,2.234021443
DF13-3A,VT,DF,DF13,DF.13,NA,NA,NA,NA,NA,65.7,5.42,21,12,49,A,11.3,2.445347795
DF13-3B,VT,DF,DF13,DF.13,NA,NA,NA,NA,NA,58.4,7.39,12,2,58,B,10.4,2.872313283
DF16-1A,VT,DF,DF16,DF.16,NA,NA,NA,NA,NA,79,7.23,10,5,53,A,8.1,4.021238597
DF16-1B,VT,DF,DF16,DF.16,1.449,1.88,3.24,2.3,4,38,4.5,10,8,45,B,4.5,4.112630383
DF16-1C,VT,DF,DF16,DF.16,NA,NA,NA,NA,NA,54,4.12,8,8,48,C,6,3.067046387
DF16-2A,VT,DF,DF16,DF.16,1.479,1.92,3.74,3.31,1,45,7.9,13,5,47,A,5.9,4.468042885
DF16-2B,VT,DF,DF16,DF.16,1.486,1.92,3.34,2.62,4,53.3,5.35,11,10,46,B,9.6,2.918640917
DF16-3A,VT,DF,DF16,DF.16,1.484,1.92,2.81,3.48,1,52,5.19,11,7,53,A,9.9,4.021238597
DF19-1A,VT,DF,DF19,DF.19,NA,NA,NA,NA,NA,76.6,5.36,6,0,66,A,4.4,3.414259186
DF19-1C,VT,DF,DF19,DF.19,NA,NA,NA,NA,NA,42.5,3.86,7,0,NA,C,3.2,4.021238597
DF19-2A,VT,DF,DF19,DF.19,1.464,1.9,4.44,3.69,1,97.1,8.32,8,0,68,A,10.4,4.021238597
DF19-2B,VT,DF,DF19,DF.19,1.459,1.89,2.86,2.62,4,44,5.39,1,0,NA,B,1.9,5.654866776
DF19-2C,VT,DF,DF19,DF.19,1.445,1.87,2.92,2.4,4,59.5,4.1,30,12,52,C,9.4,4.021238597
DF19-3A,VT,DF,DF19,DF.19,NA,NA,NA,NA,NA,60.5,4.8,10,0,72,A,5.1,3.479918016
DF22-1A,VT,DF,DF22,DF.22,NA,NA,NA,NA,NA,68.1,9.44,30,9,53,A,15.1,3.067046387
