pop	Ind	AnK2_K1	AnK2_K2	AnK3_K3	GenSize	PC1	PC2	PC3	PC4	HybClass_LDjacea	HybClass_LDnigra
PR	PR.18	1.00E-05	0.99999	0.00001	NA	-3.569318383	-1.729918393	-1.793078578	0.741847098	jacea	jacea
PR	PR.20	0.99999	1.00E-05	0.00001	1.88	7.416010688	-2.560307082	-2.081684679	0.352017618	nigra	nigra
PR	PR.21	0.089124	0.910876	0.102368	NA	-3.847912431	-2.681901279	-2.372214654	-1.923397675	BC2_jacea	BC2_jacea
PR	PR.22	0.066602	0.933398	0.1072	1.8975	-4.663283589	-1.169497458	-0.891941969	2.311521511	jacea	jacea
PR	PR.3	1.00E-05	0.99999	0.087992	1.896666667	-4.08623537	-1.620003364	-0.266056392	-1.491227148	jacea	jacea
PR	PR.4	1.00E-05	0.99999	0.031602	NA	-4.393887314	-1.335990781	0.106567115	1.291872344	jacea	jacea
PR	PR.6	1.00E-05	0.99999	0.00001	NA	-4.532264398	-2.562779366	-1.031941664	-2.423875257	jacea	jacea
PR	PR.7	1.00E-05	0.99999	0.00001	1.923333333	-3.096981749	-1.385025697	0.400095141	-0.023492574	jacea	jacea
RM	RM.1	0.006415	0.993585	0.090419	NA	-6.107388914	-2.453672057	-1.867385344	-1.041861076	jacea	jacea
RM	RM.10	0.007853	0.992147	0.101916	NA	-5.071155581	-1.265672004	-0.81716615	-1.031914586	jacea	jacea
RM	RM.11	1.00E-05	0.99999	0.00001	NA	-4.513404356	-2.521037173	-1.379795372	-2.92969654	jacea	BC2_jacea
RM	RM.15	0.082875	0.917125	0.19144	1.88	-3.70086039	-0.841861542	1.205150174	2.596487738	jacea	jacea
RM	RM.2	0.088009	0.911991	0.002589	NA	-2.753851926	-3.61826291	-1.207603389	-3.46277956	jacea	F2
RM	RM.3	0.059244	0.940756	0.13107	NA	-4.673631679	-1.618062226	-0.494559769	3.317700935	jacea	jacea
RM	RM.4	1.00E-05	0.99999	0.00001	NA	-4.02669332	-1.682842747	0.041347342	1.626476113	jacea	jacea
RM	RM.5	1.00E-05	0.99999	0.065248	1.8925	-5.658290519	-2.867626508	-2.402410169	-2.199506151	jacea	jacea
RM	RM.51	0.063236	0.936764	0.00001	1.886666667	-1.525313943	-1.115272855	0.323122075	-0.457106167	jacea	jacea
RM	RM.52	1.00E-05	0.99999	0.00001	1.903333333	-4.174817016	-3.307895293	-0.4954144	1.677517364	jacea	BC2_jacea
RM	RM.54	1.00E-05	0.99999	0.00001	1.883333333	-4.249949546	-2.100073152	-0.653581572	1.747170206	jacea	jacea
RM	RM.56	0.075337	0.924663	0.030284	1.886666667	-4.07027572	-1.938290752	1.667062974	2.659466555	jacea	BC2_jacea
RM	RM.6B	1.00E-05	0.99999	0.00001	NA	-1.585752237	-1.099546615	-0.024248801	-0.268279477	jacea	BC2_jacea
SH	SH.1	1.00E-05	0.99999	0.00001	1.89	-5.536685751	-2.828412882	-1.394510945	-0.104038454	jacea	jacea
SH	SH.10	1.00E-05	0.99999	0.04542	NA	-5.500294592	-2.125253673	-1.69259139	3.499198738	jacea	jacea
SH	SH.14	0.013688	0.986312	0.112865	1.893333333	-4.194461763	-2.888304451	-0.871201221	2.067584203	jacea	BC2_jacea
SH	SH.15	1.00E-05	0.99999	0.00001	NA	-6.500041326	-3.203633619	-2.364685875	-1.343200614	jacea	jacea
SH	SH.18	1.00E-05	0.99999	0.00001	1.883333333	-2.227882414	-1.1459105	-0.226941924	0.04264988	jacea	jacea
SH	SH.19	1.00E-05	0.99999	0.00001	NA	-1.480114489	-1.316371389	-0.963595426	0.011862929	jacea	jacea
SH	SH.2	1.00E-05	0.99999	0.00001	NA	-5.678192426	-2.942160537	-2.545707979	2.526665327	jacea	jacea
